institution,vertical,segment,country,priority,channel,email,contact_page,note,fit,checked_on,status
Millennium Management,trading_desk,multi-strategy hedge fund,US,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)","Pod structure means a single PM could in principle buy, but firm-level vendor onboarding is the real gate. Only worth it via a warm intro to a specific pod.",,skip
Wedbush Securities,trading_desk,broker-dealer,US,3,not_researched,,,"Priority 3: needs SOC 2, references and insurance first (a 2027 list)",Traditional broker-dealer with limited XRPL exposure. Weak fit unless you learn otherwise.,,skip
Cense,channel_partner,data / analytics,US,0,not_researched,,,"Channel partner: integration or referral, not an outreach target",Classification uncertain - verify what they actually do before spending any time.,,skip
Chainalysis,channel_partner,blockchain analytics,US,0,not_researched,,,"Channel partner: integration or referral, not an outreach target","Not a customer. They screen wallet behaviour; you read issuer configuration. That is a genuine product gap in their coverage, which makes this an integration or acquisition conversation - and one you should have only after a few customers make you credible.",,skip
Elliptic,channel_partner,blockchain analytics,GB,0,not_researched,,,"Channel partner: integration or referral, not an outreach target",As Chainalysis.,,skip
Fenics Market Data (BGC),channel_partner,market data distribution,GB,0,not_researched,,,"Channel partner: integration or referral, not an outreach target",As Refinitiv: data supply relationship rather than a customer.,,skip
KYOS Analytics,channel_partner,energy and commodity derivatives analytics,NL,0,not_researched,,,"Channel partner: integration or referral, not an outreach target",Energy derivatives analytics with no XRPL connection I can find. Likely a scraping error in your list - I would drop it.,,skip
Mastercard,channel_partner,card network,US,0,not_researched,,,"Channel partner: integration or referral, not an outreach target",Innovation-programme motion at best. Not an outreach-sequence target.,,skip
Refinitiv (LSEG),channel_partner,market data distribution,GB,0,not_researched,,,"Channel partner: integration or referral, not an outreach target","A distribution channel, not a seat buyer. Getting an XRPL liquidity dataset onto their terminal reaches every institution on this list at once - a much bigger prize than any single sale, and a much longer road.",,skip
Scorechain,channel_partner,blockchain analytics,LU,0,not_researched,,,"Channel partner: integration or referral, not an outreach target",Smaller analytics vendor - more likely to entertain a data partnership than the big three.,,skip
TRM Labs,channel_partner,blockchain intelligence,US,0,not_researched,,,"Channel partner: integration or referral, not an outreach target","As Chainalysis. Complementary layer, not a buyer.",,skip
VALEGA Chain Analytics,channel_partner,blockchain analytics,DE,0,not_researched,,,"Channel partner: integration or referral, not an outreach target","Small analytics vendor. Partnership, not a sale.",,skip
Visa,channel_partner,card network,US,0,not_researched,,,"Channel partner: integration or referral, not an outreach target",As Mastercard.,,skip
Wormhole,channel_partner,cross-chain messaging protocol,US,0,not_researched,,,"Channel partner: integration or referral, not an outreach target","A protocol, not an institution, and there is no seat to sell. Possible technical integration if XRPL bridging matters to them.",,skip
Franklin Resources,regulated_institution,parent of Franklin Templeton,US,0,not_researched,,,Not a buyer; do not pitch,Duplicate of Franklin Templeton at holding-company level. Deduplicate rather than contact twice - two emails into one org from one sender reads as a blast.,,skip
Ripple Custody,regulated_institution,institutional custody (Ripple),US,0,not_researched,,,Not a buyer; do not pitch,"This is Ripple. Ecosystem steward, plausible partner or acquirer, and the party most likely to build this in-house. Handle personally, never through a sequence.",,skip
